1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 1 4 3 6 5 8 9 7 
3 6 5 8 9 7 2 1 4 
8 9 7 2 1 4 3 6 5 
5 3 1 6 4 2 9 7 8 
6 4 2 9 7 8 5 3 1 
9 7 8 5 3 1 6 4 2 

1 2 3 4 5 6 8 7 9 
4 5 6 8 7 9 1 2 3 
8 7 9 1 2 3 4 5 6 
2 1 4 3 6 5 7 9 8 
3 6 5 7 9 8 2 1 4 
7 9 8 2 1 4 3 6 5 
5 3 1 6 4 2 9 8 7 
6 4 2 9 8 7 5 3 1 
9 8 7 5 3 1 6 4 2 

1 2 3 4 5 7 6 8 9 
4 5 7 6 8 9 1 2 3 
6 8 9 1 2 3 4 5 7 
2 1 4 3 7 5 8 9 6 
3 7 5 8 9 6 2 1 4 
8 9 6 2 1 4 3 7 5 
5 3 1 7 4 2 9 6 8 
7 4 2 9 6 8 5 3 1 
9 6 8 5 3 1 7 4 2 

1 2 3 4 5 7 8 6 9 
4 5 7 8 6 9 1 2 3 
8 6 9 1 2 3 4 5 7 
2 1 4 3 7 5 6 9 8 
3 7 5 6 9 8 2 1 4 
6 9 8 2 1 4 3 7 5 
5 3 1 7 4 2 9 8 6 
7 4 2 9 8 6 5 3 1 
9 8 6 5 3 1 7 4 2 

1 2 3 4 5 8 6 7 9 
4 5 8 6 7 9 1 2 3 
6 7 9 1 2 3 4 5 8 
2 1 4 3 8 5 7 9 6 
3 8 5 7 9 6 2 1 4 
7 9 6 2 1 4 3 8 5 
5 3 1 8 4 2 9 6 7 
8 4 2 9 6 7 5 3 1 
9 6 7 5 3 1 8 4 2 

1 2 3 4 5 8 7 6 9 
4 5 8 7 6 9 1 2 3 
7 6 9 1 2 3 4 5 8 
2 1 4 3 8 5 6 9 7 
3 8 5 6 9 7 2 1 4 
6 9 7 2 1 4 3 8 5 
5 3 1 8 4 2 9 7 6 
8 4 2 9 7 6 5 3 1 
9 7 6 5 3 1 8 4 2 

1 2 3 4 6 5 7 8 9 
4 6 5 7 8 9 1 2 3 
7 8 9 1 2 3 4 6 5 
2 1 4 3 5 6 8 9 7 
3 5 6 8 9 7 2 1 4 
8 9 7 2 1 4 3 5 6 
6 3 1 5 4 2 9 7 8 
5 4 2 9 7 8 6 3 1 
9 7 8 6 3 1 5 4 2 

1 2 3 4 6 5 8 7 9 
4 6 5 8 7 9 1 2 3 
8 7 9 1 2 3 4 6 5 
2 1 4 3 5 6 7 9 8 
3 5 6 7 9 8 2 1 4 
7 9 8 2 1 4 3 5 6 
6 3 1 5 4 2 9 8 7 
5 4 2 9 8 7 6 3 1 
9 8 7 6 3 1 5 4 2 

1 2 3 4 6 7 5 8 9 
4 6 7 5 8 9 1 2 3 
5 8 9 1 2 3 4 6 7 
2 1 4 3 7 6 8 9 5 
3 7 6 8 9 5 2 1 4 
8 9 5 2 1 4 3 7 6 
6 3 1 7 4 2 9 5 8 
7 4 2 9 5 8 6 3 1 
9 5 8 6 3 1 7 4 2 

